,LB,BOLE,MOOB,ARF,ARFre,VU-LB,FU-ARF,FU-ARFre,OALE,CALMID
0,0.872027522,0.899874331,0.871341092,0.88062364,0.843209569,0.873326887,0.853348216,0.833800597,0.902822685,0.866301127
1,0.867506338,0.956288301,0.925130774,0.977833845,0.967569333,0.926584449,0.953786008,0.943783329,0.922954444,0.904526359
2,0.975566579,0.961581359,0.940802407,0.992010357,0.989824763,0.94978727,0.966955788,0.949687993,0.944337726,0.932190626
3,0.97474215,0.961402996,0.929282364,0.990647499,0.989330751,0.93962027,0.969012451,0.955425669,0.929915776,0.936350839
4,0.975983204,0.958419095,0.925323581,0.995916713,0.991839628,0.928451804,0.980512487,0.958625915,0.927073895,0.901198314
5,0.988430681,0.966333294,0.925857887,0.996430309,0.994951289,0.942879119,0.985132038,0.967019435,0.929010144,0.951599803
6,0.978495902,0.962885745,0.891691412,0.9963315,0.995693688,0.970101138,0.990178107,0.977468557,0.929604978,0.979915414
7,0.987053578,0.953488445,0.940713794,0.9972387,0.996467362,0.971622315,0.99071797,0.972237916,0.921733178,0.981886737
8,0.990102822,0.959371594,0.95465123,0.997182655,0.997345871,0.976545494,0.994726782,0.979922986,0.930934734,0.991823809
9,0.983742974,0.976115273,0.960257247,0.997968997,0.997520929,0.982800506,0.993706753,0.985992463,0.942284911,0.993381925
10,0.996891052,0.979992252,0.959562584,0.999232499,0.998937517,0.990614836,0.996826737,0.988257696,0.959063054,0.996077686
11,0.993144331,0.980160995,0.958200711,0.998341284,0.996378408,0.989636355,0.995182827,0.982310895,0.94272653,0.997642098
12,0.9976058,0.991346332,0.977814365,0.99881908,0.998533925,0.992653278,0.997254863,0.993355079,0.967330824,0.998271237
13,0.990939719,0.985130708,0.978307102,0.998311984,0.998120942,0.989478166,0.9939678,0.991428559,0.959538619,0.995014109
14,0.994903083,0.988479445,0.978612639,0.999142912,0.998288909,0.993765905,0.996119515,0.9921603,0.966228057,0.997640056
15,0.992014236,0.988923365,0.976667203,0.997297472,0.997275951,0.989008966,0.993289853,0.990883389,0.965695011,0.997569087
16,0.993197423,0.992197928,0.980604651,0.998820864,0.999015804,0.993494938,0.997035766,0.994802754,0.969401546,0.998092589
17,0.996628611,0.994302355,0.985078846,0.999239271,0.999251647,0.996370138,0.998566116,0.995177354,0.981634554,0.999280335
18,0.9993141,0.994127804,0.986333854,0.999392145,0.999299935,0.996380707,0.998124167,0.994580603,0.978922708,0.998782751
19,0.994718159,0.990391505,0.989967233,0.999167,0.999309168,0.993400794,0.997131627,0.992408671,0.978353888,0.998805069
20,0.997497048,0.991119455,0.982833023,0.997962615,0.998480585,0.992950783,0.996867075,0.996292515,0.973977815,0.998479334
21,0.999675858,0.994441074,0.982930186,0.999737123,0.999315239,0.995696673,0.998970131,0.998324772,0.981290762,0.999437472
22,0.999534878,0.997688022,0.986070949,0.999472275,0.99937735,0.997862497,0.998712424,0.998362417,0.981810516,0.999640695
23,0.991976634,0.993584997,0.983423975,0.999409026,0.998046724,0.99133483,0.996238306,0.994043233,0.977079547,0.996759065
24,0.994961317,0.995333449,0.98519466,0.999320667,0.998822944,0.99642785,0.99828085,0.996757754,0.979046236,0.998780059
