,LB,BOLE,MOOB,ARF,ARFre,FU-LB,FU-ARF,FU-ARFre,OALE,CALMID
0,0.820062721,0.85716709,0.822430674,0.770756344,0.761136886,0.82176913,0.738127501,0.766453636,0.868230205,0.821546218
1,0.893260311,0.939560927,0.891675262,0.95732277,0.907048957,0.890003755,0.748741987,0.787959993,0.90362129,0.888606245
2,0.890372752,0.921345158,0.902865469,0.981875422,0.970138163,0.900600486,0.89855577,0.774761491,0.90091362,0.885224834
3,0.973052971,0.955989238,0.922201389,0.996824999,0.990983881,0.915165586,0.935063363,0.82975033,0.931127947,0.919856262
4,0.989878682,0.94722609,0.930125446,0.993971025,0.991457924,0.91370142,0.958128839,0.937315186,0.926747443,0.915521587
5,0.98456305,0.936758995,0.908976885,0.99253028,0.994811809,0.91284785,0.964302842,0.933294539,0.924167052,0.913545641
6,0.987228095,0.93572093,0.896380908,0.998524223,0.994404467,0.897691504,0.974231077,0.943238407,0.903052087,0.809229258
7,0.98932985,0.948355286,0.931076043,0.997795161,0.997955147,0.921033759,0.984820165,0.959049654,0.923381224,0.930746887
8,0.995303215,0.942095749,0.918308737,0.998910291,0.996764257,0.901174368,0.983793688,0.96112991,0.937910729,0.973809745
9,0.995380397,0.950733664,0.947523547,0.999315208,0.998191026,0.866707022,0.991147005,0.969593676,0.935161517,0.990547947
10,0.995037284,0.943517691,0.974592041,0.997198914,0.996707194,0.94467647,0.990040826,0.975202965,0.93310808,0.991022578
11,0.997971153,0.942152961,0.985962451,0.998815779,0.997335048,0.978506592,0.994582486,0.986633367,0.961550009,0.996389051
12,0.996060086,0.954997644,0.980377916,0.998000862,0.995711295,0.970766559,0.992452573,0.974639974,0.954443723,0.992603131
13,0.995949063,0.956363292,0.987769074,0.994524267,0.994521361,0.984591036,0.995343642,0.991272513,0.962257543,0.99462795
14,0.998382565,0.978646635,0.994247964,0.998436928,0.997628532,0.987485894,0.994289318,0.987752755,0.955361182,0.99575107
15,0.998388772,0.99130687,0.995056932,0.999233176,0.998895305,0.990504815,0.993376935,0.984317534,0.96483007,0.995135464
16,0.998295019,0.990724206,0.99239102,0.998056872,0.997948078,0.981159073,0.993339924,0.986606519,0.962299599,0.993321989
17,0.993706338,0.991314993,0.992147764,0.997935578,0.996454132,0.987923681,0.994602438,0.99153881,0.947147999,0.995417961
18,0.998928356,0.996883705,0.99716579,0.999468302,0.999634635,0.992154594,0.99861141,0.997959719,0.975641947,0.996995225
19,0.998322488,0.996551801,0.996363244,0.999707614,0.999004002,0.993555108,0.996621418,0.995492319,0.969972996,0.997357626
20,0.997471561,0.994893775,0.995797442,0.999123787,0.997948143,0.990093301,0.997675794,0.995089352,0.97311474,0.997514665
21,0.997239978,0.994232933,0.994922713,0.998631663,0.99706847,0.990289383,0.998205775,0.995415103,0.977015109,0.997706516
22,0.997239863,0.992899898,0.995391591,0.998910596,0.998500758,0.991487324,0.9957468,0.987046263,0.973845844,0.997315702
23,0.998555497,0.997707093,0.996704418,0.998584144,0.995320718,0.993687547,0.997475497,0.994198368,0.978286976,0.997410377
24,0.996181261,0.997489323,0.996728751,0.998871393,0.99855748,0.993490079,0.998082509,0.99707286,0.976471219,0.997239511
25,0.998320369,0.997414923,0.997002544,0.99970401,0.998966144,0.99664186,0.998385403,0.996145057,0.975593951,0.998662036
26,0.99895337,0.999218667,0.996558672,0.999568083,0.999472132,0.995826667,0.998464914,0.997668452,0.983509774,0.999078513
27,0.99879875,0.994653993,0.998142943,0.999619696,0.999405103,0.994426352,0.998659074,0.998701842,0.982578075,0.998937685
28,0.992193759,0.998568306,0.996229201,0.999569934,0.999422192,0.991407953,0.997725039,0.996266696,0.975958891,0.998691601
29,0.998116377,0.999628797,0.997732348,0.999402774,0.999850813,0.997687294,0.998903753,0.998993936,0.981835722,0.999744681
30,0.992014433,0.998283545,0.991620968,0.998288474,0.998614971,0.987944634,0.992508676,0.990831348,0.970590767,0.998155436
31,0.996059903,0.998889883,0.99636643,0.998920452,0.99859882,0.989736072,0.996598109,0.995582498,0.978006179,0.995962685
