,LB,BOLE,MOOB,ARF,ARFre,RVU-LB,SS-ARF,FU-ARFre,OALE,CALMID
0,0.68906979,0.699043856,0.687354568,0.687821966,0.687640642,0.682943224,0.674485099,0.677948216,0.691082961,0.677368894
1,0.880307659,0.88127049,0.873564187,0.903276133,0.90634713,0.804530354,0.77639237,0.824280529,0.900682608,0.611023038
2,0.945447821,0.943128305,0.900827909,0.932905232,0.92722211,0.878596306,0.860528758,0.838124658,0.916858767,0.663340137
3,0.95139595,0.957417601,0.909045168,0.922852462,0.925808611,0.871792417,0.867278265,0.854774318,0.91080344,0.862457731
4,0.957411985,0.954482869,0.919265954,0.940979406,0.939060522,0.896514832,0.897929045,0.872906731,0.936184117,0.907595514
5,0.959793331,0.97074559,0.93976191,0.955253092,0.951875085,0.912127872,0.917155957,0.888571632,0.955399526,0.924355675
6,0.942087295,0.956605074,0.90547054,0.941175978,0.944105836,0.909741537,0.888590842,0.860539039,0.930092083,0.919559203
7,0.82270859,0.824233423,0.760697152,0.799964079,0.808228569,0.781278581,0.735790569,0.740952569,0.793516967,0.795105847
8,0.813906682,0.820670838,0.744716168,0.797865199,0.807179006,0.794228447,0.745154373,0.729571414,0.803948179,0.80470482
9,0.687647341,0.689392374,0.684881007,0.673523947,0.66945121,0.666582718,0.649554005,0.638455936,0.679227473,0.667532001
10,0.82623648,0.829579363,0.825084132,0.809075357,0.802515968,0.795809548,0.748115363,0.733644002,0.810174021,0.804569183
11,0.82228337,0.820554175,0.80983342,0.804034584,0.808294235,0.801303207,0.745493921,0.769309435,0.810889731,0.805814788
12,0.918686234,0.920850184,0.901870698,0.892546344,0.901666765,0.899848067,0.839163217,0.827769255,0.906212086,0.90748965
13,0.930431002,0.939298685,0.911787102,0.91259295,0.902780987,0.915401904,0.870516942,0.873990789,0.920162937,0.928818739
14,0.805630741,0.810416545,0.807942788,0.764926864,0.773355929,0.808356326,0.745188442,0.754861065,0.796909533,0.807061845
15,0.745284377,0.746716413,0.745745425,0.742945504,0.742355699,0.738927376,0.711325638,0.725786119,0.724588398,0.732288664
16,0.705523382,0.705898183,0.692232537,0.704303255,0.703745222,0.695807433,0.691639821,0.69345352,0.695359416,0.693799208
17,0.710174969,0.710990893,0.697303297,0.708321894,0.707445324,0.701551294,0.69712404,0.687813424,0.701458849,0.705386252
