,LB,BOLE,MOOB,ARF,ARFre,SS-LB,FU-ARF,SS-ARFre,OALE,CALMID
0,0.872850412,0.907043357,0.870581146,0.749663308,0.746965134,0.870516308,0.756874527,0.745477795,0.903989253,0.866621768
1,0.936852429,0.961143015,0.93333561,0.950825411,0.895287711,0.933884806,0.817596806,0.796007961,0.945959896,0.921935712
2,0.916283731,0.969336601,0.922587926,0.985983324,0.979788384,0.92983133,0.81285303,0.776342223,0.950572933,0.917091444
3,0.951060463,0.968425146,0.933036017,0.987584214,0.986509794,0.933941032,0.898928382,0.739212989,0.944228877,0.923206032
4,0.986232064,0.967167203,0.941951505,0.994011437,0.990596993,0.940982403,0.947614666,0.843485857,0.950110914,0.933771742
5,0.985967694,0.966184892,0.927245525,0.995376333,0.993631665,0.929352044,0.963262682,0.937712649,0.938161249,0.936580504
6,0.988584327,0.963097091,0.926612786,0.995845236,0.994591806,0.929046031,0.961865913,0.953145203,0.938409331,0.934521466
7,0.996276901,0.971679998,0.940826336,0.998447344,0.997936973,0.94431071,0.984660058,0.974042046,0.946512488,0.948019832
8,0.996828512,0.972864246,0.943430971,0.998982912,0.998988968,0.943249493,0.985015787,0.977876945,0.944335938,0.830342677
9,0.993274711,0.962492982,0.927102588,0.997896162,0.994129872,0.93037497,0.982044584,0.974463914,0.935442181,0.943902384
10,0.994799203,0.971946394,0.930974283,0.999264352,0.997527505,0.943213469,0.984533566,0.979793789,0.949304867,0.978471883
11,0.996858944,0.972043817,0.945418016,0.998493226,0.997459491,0.948100375,0.989797756,0.983372572,0.947610716,0.990286285
12,0.998995505,0.97442061,0.948731142,0.998919148,0.999560262,0.907362504,0.991801217,0.988551657,0.956254657,0.996317349
13,0.995905176,0.972074262,0.982105051,0.998540472,0.997161506,0.894837775,0.991641927,0.988705085,0.947140897,0.995658551
14,0.996220885,0.968305801,0.991049821,0.998278453,0.992831995,0.958152781,0.990517689,0.987999959,0.948216609,0.995942817
15,0.994241653,0.968414914,0.992815147,0.997454421,0.999041478,0.975779022,0.994784428,0.992046638,0.966523394,0.996999159
16,0.995673142,0.969923855,0.990308368,0.998793297,0.998553998,0.98177649,0.992392266,0.991585197,0.974452351,0.998067845
17,0.998676911,0.980214478,0.98821456,0.999174778,0.999278391,0.988256887,0.995027913,0.9943662,0.978474006,0.998636392
18,0.998870413,0.984858364,0.994147323,0.994663724,0.995594068,0.989588913,0.993952954,0.992818355,0.97939517,0.998009502
19,0.994244221,0.990379869,0.995956869,0.99697936,0.997789519,0.991025396,0.992533376,0.990310866,0.983293251,0.997038221
20,0.995397815,0.988574015,0.992861161,0.998762431,0.998263203,0.989838674,0.995852455,0.994853306,0.980989804,0.996894768
21,0.991965088,0.990603894,0.994041473,0.997368025,0.992546145,0.990427055,0.984090735,0.985326497,0.981041189,0.995685388
22,0.997728588,0.995706226,0.997372113,0.999385432,0.998034933,0.995442954,0.994858426,0.994927131,0.984565286,0.999360195
23,0.998761804,0.994935273,0.995522035,0.99912314,0.998360438,0.993723856,0.997322983,0.996213585,0.986992669,0.999134228
24,0.997578355,0.997341383,0.994725937,0.999485464,0.997667917,0.993400305,0.996609983,0.995735681,0.985598036,0.998770531
25,0.997987176,0.996500783,0.995473856,0.999275,0.999116558,0.9942063,0.99707631,0.99588869,0.986788417,0.998949541
26,0.992615556,0.994443834,0.995036412,0.999494031,0.999054949,0.993779787,0.998167076,0.997868839,0.988027799,0.999087352
27,0.996965091,0.994086862,0.995247767,0.996570082,0.997135414,0.988968711,0.994852381,0.993589281,0.981803105,0.998721039
28,0.99789333,0.995113695,0.995289142,0.998873741,0.998910515,0.995296338,0.996526245,0.994726046,0.984748221,0.997943136
29,0.997626456,0.994098265,0.995068374,0.996796414,0.997555607,0.99309246,0.996191538,0.994704254,0.987057435,0.996985622
30,0.996390438,0.992067131,0.99737839,0.992728294,0.997474423,0.991489601,0.992617631,0.991296622,0.985205956,0.996514868
31,0.997551864,0.997772929,0.995419517,0.999760173,0.998192434,0.993895869,0.997481831,0.997391009,0.989297772,0.999649655
32,0.999016084,0.996655633,0.996259869,0.999249569,0.998404074,0.995079909,0.99752101,0.997053494,0.986769619,0.999648406
33,0.998288809,0.997340009,0.997323617,0.999325436,0.998994438,0.994645515,0.996212419,0.994408845,0.985365185,0.99856997
34,0.998464431,0.992976695,0.992578058,0.996444337,0.999399205,0.993398518,0.996443392,0.995702074,0.98142075,0.997449836
35,0.993267074,0.997560548,0.995273646,0.995740408,0.998193522,0.992607561,0.996420054,0.995694781,0.981941344,0.998682782
36,0.999051556,0.998422759,0.998335196,0.999778739,0.999388773,0.995624256,0.998996458,0.998642369,0.990232744,0.999647349
37,0.998921959,0.997403386,0.995124604,0.999456162,0.999427825,0.993790112,0.998623858,0.998167866,0.987703896,0.999324316
38,0.999422979,0.997925786,0.998421417,0.999261427,0.999303997,0.996335196,0.998276543,0.998725977,0.991413338,0.999358395
39,0.992462819,0.994703687,0.992949544,0.998608473,0.999130707,0.99147023,0.996437222,0.995422645,0.983120952,0.997490295
40,0.998465097,0.996406138,0.998048666,0.999475269,0.995503671,0.994241688,0.997301658,0.995452494,0.988571614,0.998873114
41,0.999457396,0.998269127,0.998791803,0.999788976,0.999636622,0.997245261,0.999224524,0.99882094,0.992505666,0.999808208
42,0.996217304,0.997777428,0.996968788,0.999214006,0.999301045,0.995311835,0.998430623,0.997968846,0.983844696,0.999558012
43,0.999258156,0.998502234,0.996312038,0.999426215,0.999375276,0.996471065,0.998399554,0.997954703,0.983293639,0.99945788
44,0.996824694,0.997946009,0.998474614,0.998663228,0.999337465,0.996792199,0.999279431,0.998749743,0.987553221,0.999388229
45,0.998095437,0.993861575,0.994086533,0.998936382,0.999333229,0.995119859,0.998516439,0.997838981,0.985167149,0.999324766
46,0.999046178,0.997114409,0.996503341,0.999258184,0.999670953,0.994709019,0.998104906,0.997586473,0.98746255,0.998578196
47,0.997934751,0.997442013,0.997612887,0.999111215,0.99850774,0.99513424,0.997698477,0.997668721,0.984779517,0.999389878
48,0.998688344,0.996874671,0.999031768,0.999605973,0.99916421,0.994985356,0.998565214,0.998628626,0.98986209,0.99919379
49,0.995816321,0.9962793,0.995443039,0.995864643,0.999275611,0.994829904,0.997479039,0.997007871,0.986300896,0.997781039
50,0.997501565,0.99754584,0.996343957,0.999138415,0.998757259,0.995097015,0.997133781,0.997896174,0.986048587,0.997673522
51,0.999148819,0.998573838,0.99877743,0.999568492,0.996031227,0.996310908,0.99603724,0.995137246,0.988920211,0.999639824
52,0.999285831,0.9991038,0.997371464,0.999298326,0.999648515,0.997092002,0.998295953,0.997794865,0.988721876,0.999578762
53,0.998551173,0.998173079,0.994178613,0.999557522,0.999247386,0.995141851,0.997543488,0.997510774,0.987744611,0.998679657
54,0.99923653,0.998109305,0.999596138,0.999533813,0.999900324,0.996517712,0.999437894,0.998868111,0.988586273,0.999785509
55,0.999318318,0.998307409,0.999127458,0.999455949,0.998835527,0.996945159,0.997774647,0.998600322,0.989998994,0.999549996
56,0.999510084,0.999179515,0.999257556,0.999669655,0.999164499,0.997172175,0.999149509,0.998832648,0.9932337,0.999844826
57,0.994362999,0.995416127,0.994211913,0.998536341,0.994824613,0.991901797,0.994765442,0.993456385,0.982017038,0.997597097
58,0.999415721,0.998002112,0.99927699,0.999387359,0.999677504,0.996370397,0.997813625,0.997940843,0.985523437,0.998855731
59,0.998864815,0.997093674,0.99932668,0.999577558,0.999241499,0.99558987,0.999199679,0.998524134,0.988664495,0.999445548
60,0.995716372,0.998936216,0.99934653,0.998757776,0.999259177,0.993423615,0.997692632,0.998182342,0.98620381,0.998649497
61,0.998323298,0.999120957,0.999144233,0.999607596,0.999523728,0.995799853,0.999038767,0.998761376,0.990371208,0.999525862
62,0.999074657,0.99923967,0.999580873,0.999760945,0.999548963,0.996900399,0.999217466,0.997709875,0.993111685,0.999419138
63,0.999359562,0.998878913,0.999112514,0.999577918,0.999344081,0.997895612,0.998911007,0.998372783,0.989801127,0.999152727
64,0.99675006,0.996615372,0.999189003,0.999635612,0.999520183,0.997403936,0.999288014,0.999334442,0.987654893,0.999337584
65,0.998239417,0.997525598,0.999082384,0.999876462,0.999651257,0.996439315,0.999639291,0.999330499,0.992253889,0.999648698
66,0.999393784,0.999179994,0.999275518,0.999309566,0.999597527,0.99585995,0.999006591,0.998860078,0.986918705,0.999555169
67,0.99888244,0.998716948,0.999427719,0.999864836,0.99981026,0.998287661,0.999554645,0.998930481,0.991789924,0.99973452
68,0.997758102,0.99854532,0.998249502,0.999529449,0.999329981,0.996324594,0.998327191,0.998582068,0.988626809,0.99890835
69,0.999614432,0.9993158,0.999664393,0.999687254,0.999723266,0.997263644,0.99690225,0.996081737,0.990304779,0.998858567
70,0.998848075,0.998155852,0.999484681,0.999699808,0.999802496,0.997736776,0.999026322,0.998632235,0.991343827,0.998750651
71,0.992739079,0.998032474,0.99872762,0.999599892,0.999340577,0.995756071,0.99920652,0.998936483,0.989861219,0.99956089
72,0.99850736,0.998172207,0.998953049,0.999153249,0.999364744,0.996794971,0.996872291,0.996641481,0.988868496,0.999596571
73,0.997976558,0.998777941,0.999579911,0.998751535,0.999652094,0.997538526,0.998325902,0.998798727,0.989777696,0.999730236
74,0.999722632,0.999356194,0.999472105,0.999823683,0.999798049,0.998830552,0.999753977,0.999501732,0.992692036,0.999878212
75,0.999437431,0.99786569,0.998999268,0.998931562,0.999503875,0.996735117,0.998614466,0.998850403,0.989386116,0.999404715
76,0.999574615,0.999019499,0.999524722,0.999566814,0.99964432,0.998560401,0.998790935,0.998445506,0.991337842,0.999805352
77,0.99600501,0.999021557,0.996764734,0.999056068,0.998066474,0.995332102,0.997783823,0.997563083,0.984352961,0.998890895
78,0.99945014,0.999440742,0.999194865,0.999715483,0.999701444,0.998532521,0.99941331,0.998150018,0.994473758,0.999688454
79,0.996141656,0.998397931,0.999329352,0.99932573,0.999547179,0.996962276,0.99855915,0.998656097,0.992751823,0.998955121
80,0.999305706,0.999139058,0.999695463,0.99990244,0.999774745,0.997225346,0.999171038,0.999479808,0.992802062,0.999894089
81,0.991767092,0.992432349,0.998226857,0.999130668,0.998877273,0.995250081,0.998337516,0.998094666,0.982305157,0.99867713
