,LB,BOLE,MOOB,ARF,ARFre,VU-LB,FU-ARF,FU-ARFre,OALE,CALMID
0,0.602835781,0.598802475,0.602468998,0.542678825,0.54933072,0.603580131,0.546797279,0.549528752,0.617517091,0.602734156
1,0.66091038,0.661406152,0.659668589,0.602971316,0.630743563,0.654293862,0.579394872,0.577780973,0.683922727,0.644997665
2,0.80601125,0.793038575,0.813721315,0.771908349,0.732130937,0.668117175,0.64818114,0.59086085,0.694430797,0.662750042
3,0.622708113,0.78254114,0.790739132,0.701669771,0.644396482,0.67862982,0.616421337,0.568645496,0.720731056,0.673913141
4,0.732939544,0.7925025,0.798996628,0.766402404,0.686276658,0.673498821,0.643895096,0.574693913,0.760222297,0.675860621
5,0.663820496,0.621150746,0.624559892,0.63996703,0.629462645,0.608204069,0.591017438,0.570568101,0.615623355,0.619943873
6,0.656373757,0.626171642,0.623943429,0.650072621,0.642709116,0.611732762,0.598246116,0.587434044,0.618666718,0.623433438
7,0.670366165,0.628270734,0.625712864,0.66419442,0.645786618,0.617580288,0.592934026,0.585507575,0.622248539,0.586632214
8,0.685379374,0.639544632,0.642468882,0.669696775,0.664119333,0.633277354,0.609163586,0.604109152,0.634637864,0.619781247
9,0.799659129,0.769634051,0.788055779,0.73040408,0.740594552,0.696803587,0.626347776,0.59658848,0.744749595,0.685470318
10,0.787508327,0.783858353,0.802682637,0.817429858,0.811404378,0.750641802,0.742329806,0.729374685,0.751232282,0.712047158
11,0.615653025,0.583939884,0.578304502,0.606234604,0.592583577,0.569849725,0.550545038,0.554395102,0.609182517,0.600015323
12,0.65000105,0.630507557,0.594968064,0.598158743,0.602586716,0.582867666,0.569718405,0.573881543,0.63930079,0.626474763
13,0.640326402,0.61904621,0.61191647,0.599997881,0.608634054,0.585849514,0.566412656,0.568671695,0.625590319,0.633140519
14,0.645667199,0.619928987,0.653350047,0.62188642,0.627320608,0.599884916,0.563876582,0.554047738,0.633961792,0.63978316
15,0.678509136,0.643342872,0.672148847,0.646730618,0.652997617,0.625295398,0.594430456,0.585126103,0.658452944,0.663819781
16,0.667482376,0.626641085,0.651747583,0.653902956,0.645301572,0.625988913,0.594777692,0.587632678,0.647094287,0.655210384
17,0.676856283,0.625485503,0.653764422,0.66203916,0.646022006,0.623895916,0.598541171,0.589058794,0.646921745,0.663206852
18,0.685923849,0.630188314,0.662900801,0.666548712,0.650324371,0.62974409,0.603440801,0.595051551,0.650651725,0.672720456
19,0.689363008,0.629775956,0.671580651,0.666421553,0.655543489,0.63582157,0.593256831,0.596614593,0.655531636,0.676621842
20,0.688806247,0.63339883,0.669182352,0.668528648,0.66088776,0.641454052,0.610319954,0.599104782,0.657748844,0.683977398
21,0.691628936,0.63518431,0.665272381,0.677026633,0.664721302,0.642788767,0.612941747,0.60043759,0.652993239,0.686540023
22,0.622673523,0.592388851,0.583615529,0.634352687,0.62441725,0.595214896,0.60766373,0.605085669,0.604163361,0.625080197
23,0.657512778,0.625647743,0.607243311,0.649127965,0.631477833,0.62034874,0.625032354,0.624410951,0.626723142,0.654451412
24,0.661770026,0.627337182,0.612498933,0.651071718,0.639548832,0.622978675,0.627879813,0.619980866,0.637067198,0.661132439
25,0.678989657,0.624905098,0.639078892,0.660901055,0.652429482,0.643140813,0.631500742,0.634035721,0.638774049,0.68163925
26,0.685295889,0.626212658,0.639768229,0.666432972,0.660076565,0.636598839,0.62949577,0.643533889,0.632599135,0.685756969
27,0.681050966,0.616703401,0.614007178,0.671634445,0.660717444,0.624752389,0.631540461,0.619906828,0.623391697,0.675183611
28,0.704240913,0.683366491,0.59562468,0.710079119,0.700206155,0.666539124,0.686292715,0.669648338,0.698926654,0.67228673
29,0.758540565,0.73065925,0.649611084,0.730691824,0.735635687,0.688207585,0.702333192,0.714014401,0.734182483,0.722901632
30,0.757345213,0.739562866,0.645207364,0.684752972,0.702870407,0.687069337,0.69186685,0.705127505,0.73549756,0.736063729
31,0.781407158,0.753454531,0.674458452,0.686541179,0.730709803,0.711946346,0.702929082,0.736380965,0.753071373,0.751249659
32,0.805384087,0.767694192,0.700825078,0.764194922,0.784028288,0.740261843,0.753050729,0.758491739,0.769085375,0.785294452
33,0.773456737,0.731202859,0.741407923,0.816292601,0.821144344,0.662445373,0.765803527,0.718308926,0.776652223,0.775871598
34,0.642196213,0.605231787,0.637349298,0.646011159,0.637936512,0.618463459,0.638103526,0.626072356,0.64473042,0.665558733
35,0.653577413,0.634092329,0.647793339,0.662427834,0.652455546,0.647619514,0.647638273,0.651838295,0.666019765,0.684079203
