,LB,BOLE,MOOB,ARF,ARFre,RVU-LB,VU-ARF,VU-ARFre,OALE,CALMID
0,0.675980156,0.682697291,0.676410399,0.638754506,0.659667133,0.673536918,0.642941852,0.654951471,0.622391002,0.649262798
1,0.693712075,0.697044831,0.683544994,0.691527143,0.691492201,0.678328312,0.666454987,0.646293888,0.685474054,0.622185843
2,0.687329817,0.689390315,0.694408002,0.711842661,0.710441275,0.692828287,0.698200021,0.70012901,0.706348631,0.685767851
3,0.711052988,0.706445267,0.711587615,0.698536682,0.700154849,0.696213884,0.66422974,0.679816836,0.691063903,0.681634967
4,0.728053677,0.718248518,0.729566219,0.722067808,0.719806249,0.720001199,0.707586722,0.707521111,0.724118153,0.719171514
5,0.691928871,0.69974082,0.718774798,0.706388237,0.698838057,0.700592649,0.713979427,0.715566123,0.707274809,0.709695485
6,0.703470345,0.700883416,0.692804537,0.701528867,0.70060005,0.676977508,0.683047064,0.67878893,0.689342553,0.681685836
7,0.725587431,0.71970179,0.718544052,0.719071116,0.720626964,0.71205209,0.706475926,0.692987947,0.717576102,0.713257557
8,0.760712215,0.755996983,0.761080784,0.757415884,0.757871023,0.757270816,0.7542944,0.753509064,0.758635259,0.757901893
9,0.709581038,0.69902538,0.69939953,0.710178055,0.706479662,0.691853308,0.715116191,0.712404548,0.696720803,0.70330062
10,0.720275207,0.717304181,0.708407541,0.715531224,0.713660455,0.698925537,0.702654947,0.702962003,0.709853834,0.706651692
11,0.726344112,0.71088001,0.714174878,0.719004502,0.725978102,0.708646422,0.708900471,0.707115947,0.717041683,0.715495846
12,0.692644679,0.688725256,0.686780103,0.696145115,0.691811768,0.670856464,0.688745678,0.687482232,0.681514836,0.680504548
13,0.723308557,0.715898289,0.713335779,0.72234238,0.719360712,0.710476686,0.707986164,0.699004401,0.714653054,0.713713746
14,0.707490449,0.696224875,0.697528657,0.703923525,0.707447243,0.686727491,0.690350987,0.683379445,0.691184569,0.695528668
15,0.708959579,0.653235409,0.697241148,0.699484424,0.701236237,0.687766618,0.692704743,0.695204956,0.693479181,0.696166686
16,0.704693516,0.688126824,0.691138751,0.700055547,0.69743787,0.688947344,0.69264679,0.677659411,0.695163877,0.692677782
17,0.669963446,0.617369728,0.665335946,0.674094281,0.664818264,0.645310173,0.638828579,0.658571979,0.664611094,0.646865052
18,0.756276299,0.750574348,0.750230959,0.75141681,0.753118946,0.737144438,0.741552031,0.741116655,0.745440062,0.746268006
19,0.756562337,0.750241121,0.749281213,0.755815606,0.753596027,0.73921774,0.744468909,0.74808561,0.747774291,0.749696153
20,0.709615457,0.704792231,0.70646672,0.699630338,0.703282539,0.681646348,0.673208541,0.683066875,0.696805636,0.67849816
21,0.764971409,0.761993616,0.762056714,0.763009932,0.761607434,0.760231522,0.759979533,0.759406398,0.760498932,0.760477847
22,0.729212317,0.725713525,0.726051023,0.721059147,0.721495511,0.716474799,0.715619164,0.718920804,0.72308008,0.719416735
23,0.723962874,0.719707933,0.727859658,0.709999375,0.714454199,0.712320893,0.701748209,0.708750729,0.722299638,0.715058936
24,0.694995981,0.698732034,0.697554899,0.681762979,0.673664546,0.668196677,0.657031449,0.670724203,0.68408063,0.673474533
25,0.713014173,0.697953393,0.717599955,0.709339855,0.709408548,0.693074141,0.698379436,0.709086158,0.704521295,0.700173457
26,0.711275923,0.697416103,0.707194566,0.689145159,0.685633887,0.691348995,0.678319567,0.693897275,0.689767076,0.701263443
27,0.762842672,0.758691831,0.762461536,0.758623811,0.756743579,0.757440542,0.755327693,0.756957051,0.755765854,0.758823581
28,0.707241638,0.707670616,0.725942714,0.706432663,0.70558444,0.704606239,0.695567028,0.710497771,0.720898861,0.722297651
29,0.75678767,0.748743569,0.74732143,0.749911458,0.750989189,0.743329102,0.747419969,0.744850508,0.746309514,0.748561025
30,0.719259627,0.717694515,0.724286109,0.716443449,0.708471088,0.702533731,0.701917469,0.6987732,0.70813397,0.709950513
31,0.762008198,0.756793881,0.76248708,0.756950294,0.758251102,0.755977814,0.753964426,0.7553803,0.756689856,0.758268022
32,0.758201545,0.750400291,0.753139389,0.753644899,0.752739759,0.748936814,0.752287254,0.752493262,0.749144318,0.751718871
33,0.717729535,0.711486433,0.705726183,0.712816209,0.707619297,0.691387012,0.699496663,0.701811959,0.705550048,0.704139753
34,0.730008299,0.724123541,0.708261499,0.717035254,0.718972862,0.708825587,0.706154086,0.716895607,0.712555451,0.714895199
35,0.760706544,0.747715702,0.751525753,0.750775295,0.74932006,0.750138941,0.75288405,0.754742938,0.749592587,0.750679468
36,0.722637169,0.718484035,0.705345262,0.713653893,0.719750946,0.704649468,0.705190526,0.707729077,0.710140146,0.712896499
37,0.72277729,0.710397514,0.709475419,0.710893803,0.709943,0.706240632,0.705449566,0.704219281,0.71038163,0.710768916
38,0.71918598,0.712513722,0.708080832,0.709981958,0.716660325,0.705535811,0.702322495,0.702640072,0.708907909,0.708494895
39,0.721745863,0.713153936,0.714749787,0.708457816,0.708758882,0.705574984,0.699723914,0.697601886,0.709394378,0.707458175
40,0.659535459,0.679839265,0.69434135,0.689214841,0.691333588,0.661371334,0.672049299,0.673397984,0.67361896,0.675458024
41,0.753049692,0.746048821,0.757313804,0.75192281,0.749984611,0.743740528,0.744860136,0.742337179,0.747319346,0.75042211
42,0.757041844,0.754090652,0.750686175,0.755641695,0.747632804,0.750287668,0.745510254,0.749986234,0.747943287,0.747417616
43,0.822045445,0.817670409,0.818124599,0.821253111,0.821137797,0.817573433,0.818317692,0.818754375,0.816554344,0.819170054
44,0.727962413,0.721069985,0.727282431,0.716048312,0.717176901,0.715380334,0.709374077,0.70884436,0.720566265,0.723578145
45,0.729335598,0.719290732,0.728816853,0.710593514,0.706026498,0.710804902,0.700625787,0.709063745,0.726553838,0.724006617
46,0.693204104,0.695219587,0.707556296,0.675662268,0.683161094,0.669391057,0.662135541,0.665322231,0.694560042,0.683144655
47,0.713500453,0.699227132,0.721898106,0.706963008,0.700046774,0.688434604,0.683666384,0.671289021,0.711923501,0.709854726
48,0.76544642,0.761476032,0.762257075,0.75754037,0.756217437,0.751700388,0.755543289,0.750294468,0.758616525,0.759819411
49,0.727559095,0.722649973,0.729614967,0.713101238,0.710706766,0.716424536,0.709493164,0.716188222,0.720748888,0.722370987
50,0.748355627,0.745913889,0.757048044,0.747755476,0.741805811,0.746632408,0.746743336,0.746902957,0.750004533,0.753726041
51,0.749349934,0.747357741,0.755373054,0.746393888,0.747206535,0.742938112,0.751398478,0.746614209,0.749411529,0.751920263
52,0.755717244,0.75174509,0.755380316,0.755350978,0.752957622,0.749413501,0.752230465,0.749554798,0.749406131,0.74876805
53,0.759972625,0.757036834,0.764749496,0.755174084,0.755501098,0.754604445,0.750736823,0.746350791,0.75699829,0.757324538
