,LB,BOLE,MOOB,ARF,ARFre,SS-LB,VU-ARF,VU-ARFre,OALE,CALMID
0,0.85494636,0.853823036,0.851640135,0.897209401,0.887163643,0.842785095,0.882742664,0.877689616,0.876379584,0.834305182
1,0.937195693,0.937727127,0.936729629,0.941101348,0.941170872,0.893637692,0.91700351,0.907569519,0.923341168,0.82244063
2,0.945419004,0.945175999,0.945413129,0.947472599,0.947467007,0.924271683,0.943976625,0.941213528,0.936774954,0.82377908
3,0.927072861,0.927102299,0.926950101,0.930100668,0.930382004,0.906887659,0.919088626,0.92798236,0.922387343,0.885028088
4,0.929726911,0.929661128,0.929607727,0.930037949,0.92977348,0.919060877,0.926573051,0.929023533,0.925917562,0.909552809
5,0.935535119,0.934640205,0.934624892,0.937336154,0.936446385,0.92505562,0.936684481,0.933471166,0.937182865,0.912394388
6,0.946613392,0.946937951,0.945309916,0.946732275,0.947075508,0.932151607,0.935676345,0.933479285,0.941150067,0.933941688
7,0.931203836,0.931249073,0.929831005,0.931213904,0.931110976,0.929800419,0.929743052,0.925161582,0.930038215,0.929049423
8,0.931313131,0.931313131,0.929892371,0.931214688,0.931279657,0.929041881,0.930823821,0.930054872,0.929776808,0.929311606
9,0.930947153,0.930436349,0.929284937,0.931176313,0.931148422,0.930076124,0.929884732,0.924484803,0.929642478,0.929803156
10,0.940684672,0.944501094,0.943221233,0.947441943,0.94701688,0.936807009,0.945705609,0.945933856,0.942277974,0.938850621
11,0.946525205,0.945325824,0.944842817,0.947456042,0.947353812,0.940764998,0.947104133,0.947128062,0.944424212,0.944613828
12,0.946902357,0.94698398,0.944682368,0.947473578,0.947462013,0.938740896,0.946947824,0.947076093,0.944580409,0.943274539
13,0.947474747,0.947474747,0.945444231,0.947472669,0.947468083,0.942001152,0.947347953,0.947347509,0.94558369,0.944778336
14,0.930317319,0.92970405,0.928967745,0.93130542,0.931312361,0.924430439,0.931238359,0.931122607,0.929190037,0.924769878
15,0.930497489,0.931264681,0.928229151,0.931313131,0.931313131,0.925473176,0.931304162,0.931300902,0.928003665,0.925733103
16,0.930662043,0.930016897,0.928570035,0.931312593,0.931313131,0.926573366,0.931287255,0.931254651,0.92692202,0.926713482
17,0.930638285,0.93001813,0.929980373,0.931310931,0.93130763,0.928153189,0.931305744,0.930919081,0.924301598,0.929050215
18,0.921974942,0.924769871,0.930939103,0.931307768,0.931252593,0.904225564,0.930596451,0.931142661,0.913267352,0.912480902
19,0.936574733,0.938617745,0.945082424,0.943152713,0.936706215,0.894707236,0.928032037,0.945393257,0.916688129,0.91793274
20,0.947471782,0.947469363,0.943874505,0.939733353,0.9332228,0.931466004,0.904174138,0.920540944,0.932504649,0.942387585
21,0.914165578,0.92497317,0.909941183,0.896255127,0.874490195,0.892564652,0.807631218,0.838794932,0.900100821,0.909874688
22,0.90476918,0.92243748,0.909271974,0.911149072,0.907556366,0.883659446,0.846529787,0.83849923,0.900343726,0.913131608
23,0.899827814,0.903993702,0.864053443,0.898877438,0.902345273,0.864112417,0.854985586,0.842123475,0.863817392,0.879960356
24,0.923971199,0.923238974,0.87101695,0.924628409,0.928914856,0.882727131,0.88402614,0.879091703,0.874254229,0.885259515
25,0.9259827,0.939751536,0.926552189,0.931676529,0.938976851,0.898257372,0.893578509,0.892098144,0.886166354,0.89724841
26,0.912620951,0.926913498,0.91765453,0.910427846,0.927317974,0.895334951,0.900667056,0.918568219,0.902794518,0.906191305
27,0.906319583,0.911048731,0.888467842,0.910313883,0.912445115,0.894140631,0.895765305,0.899529895,0.893300019,0.902015876
28,0.902073899,0.908163362,0.886195578,0.899511588,0.911318644,0.884683967,0.892494042,0.90072562,0.889635252,0.896678328
29,0.912608099,0.912227197,0.891985285,0.910457598,0.910725262,0.895140259,0.897613166,0.900975763,0.887213471,0.904344838
30,0.913520333,0.913776337,0.900129117,0.912552684,0.913013505,0.897966807,0.900026439,0.907866305,0.895012823,0.907228585
31,0.91280922,0.914537144,0.913942694,0.908824195,0.909075949,0.907399861,0.901646057,0.906625355,0.901818156,0.911963278
32,0.912023553,0.927602759,0.927754094,0.925828112,0.924979939,0.910973972,0.914878698,0.92081694,0.914106174,0.920033682
33,0.930849782,0.930710512,0.929613123,0.929179564,0.927844918,0.920346852,0.922478059,0.92852939,0.924249868,0.924613874
34,0.926869993,0.930155895,0.92846861,0.925628522,0.927478617,0.919105907,0.925509861,0.926707383,0.921158263,0.926876737
35,0.927253525,0.929686983,0.927164185,0.923040448,0.929789445,0.919424313,0.927342901,0.926725365,0.924195329,0.924961953
36,0.929448468,0.930915261,0.927451597,0.930170259,0.930911799,0.925340512,0.928459286,0.927523897,0.926551372,0.926321195
37,0.928627519,0.930611812,0.928456468,0.930593602,0.930820254,0.929068175,0.929157483,0.929602769,0.927319519,0.926685373
38,0.930885095,0.931079762,0.928876433,0.930904818,0.930890488,0.928973475,0.92907187,0.92931775,0.927432657,0.930120611
39,0.929938456,0.930985492,0.928589932,0.930141423,0.930188306,0.928860494,0.92916626,0.929973185,0.927565907,0.929770353
40,0.928804994,0.930921498,0.928192315,0.930249907,0.93055867,0.928067282,0.928734827,0.92966448,0.927934496,0.929866785
41,0.930820986,0.930856808,0.926924849,0.929749827,0.930576884,0.92783545,0.929272128,0.929809336,0.927588012,0.929384161
42,0.929646727,0.929075641,0.924961086,0.929813077,0.93044932,0.924595613,0.929323584,0.929960618,0.925133552,0.927255574
43,0.930891791,0.930900249,0.922422555,0.929021489,0.929568634,0.925211069,0.927951659,0.927403345,0.923906725,0.929692691
44,0.928092034,0.929695792,0.919428854,0.925642939,0.929299915,0.92218575,0.925897128,0.926125557,0.921586774,0.928513302
45,0.918981575,0.919599717,0.900132907,0.906862682,0.920786272,0.891949693,0.904110118,0.903082426,0.907048684,0.910545903
46,0.928470951,0.936539063,0.905874559,0.921341219,0.928667793,0.916615099,0.925502019,0.928703026,0.918450926,0.922596767
47,0.927771266,0.930696027,0.918065967,0.927947161,0.927351471,0.92069636,0.924395482,0.924454638,0.917711913,0.928386135
48,0.936489684,0.942396058,0.923091458,0.943663926,0.943301256,0.922651234,0.932467183,0.929864664,0.921789864,0.935597063
49,0.941213354,0.944819388,0.926018709,0.945170415,0.945699919,0.920669643,0.93385722,0.934219765,0.92539026,0.93046598
50,0.94152708,0.940715025,0.924482774,0.944064473,0.942687968,0.916817273,0.92272074,0.920719003,0.920482259,0.927212866
51,0.943153153,0.939732658,0.935122735,0.944404123,0.943539288,0.915987492,0.920362138,0.923217045,0.922967,0.922185769
52,0.93742548,0.944366771,0.939902468,0.946640344,0.946056171,0.930383749,0.937413522,0.93634482,0.929954311,0.93310263
53,0.943435617,0.944889156,0.936339254,0.945479172,0.94457693,0.930010859,0.927828342,0.931815733,0.92852326,0.924752666
54,0.925224001,0.941335071,0.920377211,0.944619269,0.936592935,0.914849862,0.913823944,0.89954761,0.917363438,0.92479619
55,0.942416141,0.944469551,0.918498097,0.935111775,0.937240031,0.912966198,0.901318709,0.904851814,0.91771179,0.918561238
56,0.943039719,0.941997817,0.922745032,0.931150983,0.930815076,0.903660141,0.872032265,0.888278693,0.907785881,0.916312516
57,0.940330399,0.943818711,0.927089363,0.938678609,0.940310666,0.902287817,0.892811313,0.887808446,0.909243887,0.919671698
58,0.935918747,0.941225828,0.921421093,0.901334471,0.930394002,0.894063711,0.873018055,0.876705159,0.90611903,0.91196072
59,0.938192787,0.935940986,0.897503205,0.911075101,0.927557725,0.888072162,0.862348876,0.874730316,0.899089614,0.900487654
60,0.927199893,0.942984118,0.911863959,0.938979126,0.938178935,0.878106771,0.852661969,0.871012457,0.898485707,0.888382902
61,0.940284626,0.942798726,0.929849607,0.943401391,0.94424667,0.900011795,0.919831008,0.918551865,0.919657317,0.913438223
62,0.926539778,0.91487454,0.91823981,0.929809906,0.93071248,0.910511357,0.9266478,0.924458704,0.911791682,0.924014902
63,0.929896694,0.930428635,0.921401303,0.931107345,0.931086462,0.922323439,0.929779741,0.928705131,0.922480239,0.927803137
64,0.925288244,0.931197677,0.923774298,0.931172183,0.93130049,0.925476111,0.93002751,0.930600936,0.924173991,0.929574565
65,0.92933162,0.931069959,0.925818847,0.930731079,0.930739078,0.926556688,0.930510117,0.930524967,0.926990227,0.928840656
66,0.920748722,0.9285075,0.925557883,0.928137249,0.927763362,0.904879876,0.924022964,0.923281005,0.917255891,0.912397063
67,0.928774313,0.931161883,0.928629563,0.931301492,0.930413079,0.920549602,0.930627954,0.930191622,0.926074317,0.927229291
68,0.928143728,0.931226956,0.931073028,0.930856991,0.931147255,0.921362661,0.930466267,0.929651448,0.924350049,0.927789189
69,0.931091175,0.931055979,0.930861233,0.931041191,0.931052397,0.926993415,0.930503415,0.928723596,0.926663513,0.929910551
70,0.928187877,0.930986192,0.929745254,0.930143261,0.930807566,0.92683836,0.929094004,0.927066295,0.926376238,0.928530283
71,0.927014831,0.931226353,0.930706634,0.930195383,0.930992521,0.926312799,0.929425221,0.930647265,0.924182437,0.927689901
72,0.927345172,0.931217091,0.931114094,0.930977658,0.931128478,0.929513353,0.930386157,0.928021611,0.926371051,0.927415038
73,0.926809595,0.931102167,0.927762852,0.929542279,0.930140696,0.918624657,0.92696438,0.928694957,0.922385818,0.91989196
74,0.929707132,0.930551415,0.930089041,0.931078778,0.93042638,0.924917115,0.929099184,0.9306086,0.924354415,0.927862562
75,0.927817088,0.931133669,0.930627382,0.931086668,0.93112233,0.92603125,0.930828229,0.931057538,0.927672998,0.930178501
76,0.917777011,0.921419875,0.916338781,0.922936227,0.922063424,0.903749308,0.910369971,0.917701715,0.90867535,0.917953879
77,0.920621399,0.926551078,0.929742354,0.925623416,0.931168504,0.907723737,0.918428775,0.929870098,0.911319683,0.92207949
78,0.927045113,0.926499959,0.920967641,0.922999793,0.923012994,0.910260103,0.918180309,0.921766168,0.91510803,0.924035159
