,LB,BOLE,MOOB,ARF,ARFre,FU-LB,FU-ARF,FU-ARFre,OALE,CALMID
0,0.656735729,0.640249769,0.643000812,0.610672719,0.614135758,0.657010241,0.60737621,0.612425928,0.692892276,0.674637427
1,0.68260564,0.690384899,0.694807674,0.666715598,0.660509993,0.670954681,0.676482346,0.664647852,0.685418197,0.664174737
2,0.676009569,0.665452907,0.681114623,0.712429732,0.707413074,0.646087171,0.71881516,0.648667951,0.686115151,0.638932049
3,0.665328868,0.712519931,0.712174887,0.67972847,0.709200027,0.682542703,0.700837558,0.706336238,0.692469633,0.662466673
4,0.67158721,0.745821228,0.759064739,0.769569084,0.746355286,0.75534788,0.756651032,0.745485822,0.760138816,0.692104714
5,0.712334346,0.711601034,0.710604748,0.714270314,0.71352463,0.702703853,0.702446192,0.713696829,0.705717936,0.692012184
6,0.689743009,0.663070184,0.689912431,0.702691298,0.676579686,0.676189739,0.692994755,0.670859826,0.706355167,0.664478974
7,0.691802197,0.691177172,0.689459538,0.697614801,0.715142615,0.681976712,0.715903789,0.713209755,0.719952552,0.665260053
8,0.680779976,0.688861201,0.741012811,0.717400272,0.695580182,0.70680485,0.732426913,0.724860301,0.713474831,0.679286102
9,0.809009044,0.72960109,0.846927448,0.830281775,0.757020252,0.771383917,0.78321453,0.797535929,0.764543161,0.734908966
10,0.72694364,0.66412782,0.760288713,0.761864373,0.760670454,0.748641256,0.753772614,0.760475745,0.704962847,0.725441024
11,0.652885292,0.713720129,0.714117422,0.71422707,0.714197748,0.710107922,0.697179085,0.713259235,0.709544972,0.702903127
12,0.737422064,0.734107983,0.746562902,0.760444055,0.759405875,0.680658514,0.740915168,0.759588196,0.707836099,0.695587889
13,0.711874243,0.729397498,0.947623957,0.843597514,0.753292606,0.775581482,0.781920333,0.763924893,0.830783712,0.843851013
14,0.731115557,0.761895788,0.761392611,0.761904762,0.761684982,0.72949452,0.76136068,0.761625946,0.737213092,0.743722602
15,0.754609881,0.740694735,0.791249557,0.77754035,0.849495837,0.759483614,0.815432514,0.796501142,0.77456883,0.815423212
16,0.71269353,0.702773014,0.747420229,0.746958591,0.732610756,0.739665001,0.722957476,0.686187855,0.733386672,0.750713218
17,0.734409286,0.842394701,0.812169093,0.852826688,0.848540386,0.796011544,0.826634931,0.840805954,0.797924154,0.827081507
18,0.760844366,0.758393785,0.761897979,0.761904762,0.760037348,0.72996662,0.761064737,0.761904762,0.743309667,0.745264201
19,0.714109031,0.714083295,0.713976673,0.714285714,0.714285714,0.704938156,0.714275272,0.7142335,0.710312277,0.709806814
20,0.690888125,0.683901992,0.761888855,0.761904762,0.76178043,0.70942524,0.761901654,0.761484777,0.70418599,0.753404582
21,0.832601395,0.757101371,0.857101819,0.857091917,0.857051164,0.747113486,0.849348723,0.856979848,0.806531346,0.826987997
22,0.737926376,0.761898259,0.761883628,0.761904762,0.761904762,0.733166444,0.761904762,0.761904762,0.728436374,0.750852658
23,0.714285714,0.714285714,0.714271127,0.714285714,0.714285714,0.714218575,0.714285714,0.714285714,0.714136379,0.714144328
24,0.725932996,0.690996354,0.698525821,0.755102041,0.736417749,0.668056766,0.72981794,0.701276586,0.699203433,0.69313173
25,0.712645966,0.709644962,0.714254096,0.714077613,0.714255071,0.702725405,0.713190204,0.714229796,0.697906041,0.704792508
26,0.658703871,0.743246746,0.761895021,0.761871691,0.761673398,0.723860109,0.761795872,0.761859197,0.731735185,0.747790396
27,0.679531612,0.713409743,0.714238473,0.71411693,0.714226849,0.711144542,0.712420599,0.705988202,0.711416424,0.704967848
28,0.761904762,0.761904762,0.761843555,0.761904762,0.761904762,0.732519316,0.761901705,0.761904762,0.728859607,0.742462107
29,0.805616099,0.832569132,0.857033286,0.854679233,0.854693793,0.805979543,0.841470304,0.847189647,0.806342237,0.848320861
30,0.756135453,0.761150305,0.708239297,0.761904762,0.761904762,0.746680646,0.76190414,0.761904762,0.73770592,0.757866901
31,0.743686869,0.761812771,0.761904138,0.761904762,0.761904762,0.75033287,0.760206501,0.761744159,0.708855738,0.753373153
32,0.688812812,0.713763502,0.714253228,0.714270452,0.714173789,0.701970075,0.712177759,0.714194139,0.700951409,0.709584605
33,0.813173089,0.732697829,0.770598602,0.850719672,0.855258338,0.7661901,0.832011393,0.857142857,0.787708081,0.779902623
34,0.73870876,0.759096868,0.737972929,0.754460191,0.76187376,0.731647204,0.761054332,0.761869331,0.715342892,0.742444998
35,0.714285714,0.714085953,0.714282676,0.714285714,0.714285714,0.707377182,0.714285714,0.714285714,0.706206741,0.713815757
36,0.714285714,0.714230805,0.714220942,0.714247411,0.714285714,0.709780094,0.714283416,0.714285714,0.707310113,0.713048587
37,0.738095238,0.759928884,0.75,0.761904762,0.761904762,0.724356876,0.761903272,0.761904762,0.717973766,0.746318919
38,0.714285714,0.714284592,0.714254073,0.714285714,0.714285714,0.71425209,0.714285714,0.714285714,0.714213419,0.714284144
39,0.734633641,0.761859926,0.761840559,0.761904762,0.761904762,0.748019345,0.761904762,0.761904762,0.735070024,0.750197118
40,0.83587453,0.769970737,0.77445842,0.845238095,0.845238095,0.802081466,0.847407969,0.825296108,0.779346514,0.804956215
41,0.714245832,0.714166671,0.714203752,0.714285714,0.714285714,0.710105862,0.714284717,0.714275756,0.702808797,0.712673697
42,0.714270432,0.714232321,0.714285304,0.714285714,0.714285714,0.707881413,0.71427314,0.714285714,0.702362782,0.712203961
43,0.714285714,0.714281324,0.71428383,0.714285714,0.714285714,0.714222121,0.714285714,0.714285714,0.714137613,0.714247727
44,0.744110735,0.761722424,0.761873465,0.761904762,0.761904762,0.730216757,0.757142857,0.761904762,0.705020462,0.748461607
45,0.761904762,0.761482041,0.761843797,0.761904762,0.761904762,0.743742308,0.761904762,0.761904762,0.737199476,0.747952507
46,0.857142857,0.857033202,0.857061047,0.857142857,0.857081885,0.830739475,0.855456984,0.857051399,0.822307071,0.838500169
47,0.714107815,0.713623575,0.714285714,0.714285714,0.714285714,0.70808154,0.714255591,0.714233155,0.707694251,0.713309033
48,0.841269841,0.856985407,0.857057903,0.841200048,0.841219989,0.812606385,0.853161642,0.849206349,0.776322883,0.826929161
49,0.714285714,0.714285714,0.714284078,0.714285714,0.714285714,0.708884482,0.714285714,0.714285714,0.700016026,0.711673675
50,0.857142857,0.779330557,0.843093384,0.817116065,0.770417359,0.775128543,0.836289339,0.772137182,0.764074907,0.823738374
51,0.837317344,0.847996655,0.78052787,0.843828321,0.844611529,0.768880607,0.829672323,0.761796188,0.753870914,0.762789405
52,0.761904762,0.761428571,0.660187138,0.74997075,0.761904762,0.745959453,0.754601654,0.761904762,0.706231313,0.747552963
53,0.761835317,0.761844394,0.761894455,0.761904762,0.761904762,0.739472577,0.761884746,0.761865129,0.722872631,0.753720323
54,0.795672423,0.857097245,0.821352551,0.857142857,0.845238095,0.819921908,0.849240467,0.857127653,0.793315368,0.846574415
55,0.714255878,0.71409504,0.714196205,0.714285714,0.714285714,0.704178528,0.714285714,0.714285714,0.707543469,0.713997458
56,0.714285714,0.714285714,0.714265883,0.714285714,0.714266333,0.708417682,0.714285714,0.714285714,0.700947818,0.71428177
57,0.761904762,0.741891031,0.761904762,0.761904762,0.761904762,0.738742316,0.760716031,0.761904762,0.726018843,0.738415814
