,LB,BOLE,MOOB,ARF,ARFre,VU-LB,VU-ARF,SS-ARFre,OALE,CALMID
0,0.843344218,0.844042324,0.837025207,0.783578937,0.798497378,0.832479863,0.772136129,0.790977336,0.845587026,0.833534835
1,0.92991093,0.892340116,0.90779181,0.885628116,0.899609717,0.904358046,0.83547192,0.858239296,0.902771133,0.889181988
2,0.946638747,0.915283769,0.929733535,0.893367536,0.933277858,0.919844491,0.841395636,0.872995256,0.920679245,0.857155895
3,0.955478724,0.939598127,0.937656006,0.91465205,0.943467687,0.932571013,0.872852278,0.897099317,0.932177751,0.899336232
4,0.960714763,0.929336581,0.938702057,0.926357308,0.935138905,0.929167527,0.867383927,0.893196086,0.927865051,0.926933446
5,0.980678079,0.948985198,0.961529328,0.929385888,0.947002456,0.940120052,0.896170214,0.908068024,0.935872687,0.952172234
6,0.980699369,0.945681688,0.961347596,0.930374135,0.944617181,0.939999433,0.905986408,0.900883813,0.932447127,0.958367224
7,0.9824147,0.950671729,0.968926811,0.939033586,0.948738603,0.936872688,0.910293442,0.903878876,0.928117421,0.963151013
8,0.981675107,0.951436879,0.967177735,0.934947072,0.950431141,0.943661817,0.913991426,0.912576376,0.93066192,0.968820155
9,0.979813624,0.964680024,0.968420121,0.945601106,0.958612428,0.945001116,0.919148527,0.920435384,0.932484828,0.972386874
10,0.988832994,0.965243494,0.974604792,0.945490909,0.959358541,0.954343176,0.920863391,0.922055656,0.932868653,0.979294276
11,0.984575582,0.963468376,0.965919845,0.945196207,0.952692628,0.948439581,0.919065814,0.920661816,0.918164062,0.978243993
12,0.989192979,0.971985902,0.973845994,0.948217151,0.963939209,0.958972326,0.929439807,0.926574698,0.937355069,0.982696559
13,0.989705051,0.972538529,0.975729564,0.950277291,0.959151909,0.961231723,0.92806714,0.927927698,0.925090769,0.985432126
14,0.992621144,0.97431875,0.973078799,0.957613222,0.964589962,0.963522076,0.93252104,0.931054474,0.937223999,0.985137156
15,0.994507528,0.971386982,0.976265953,0.94928104,0.960222337,0.965267857,0.9289657,0.92940511,0.93950462,0.98165154
16,0.993253625,0.971354985,0.974384736,0.95562862,0.964192831,0.967150231,0.933711725,0.929598265,0.944313684,0.984864726
17,0.995024575,0.975458822,0.975519125,0.957242728,0.960908648,0.969918734,0.932731356,0.923647425,0.954705771,0.986863063
18,0.995890744,0.9744175,0.977603602,0.955336075,0.964831956,0.967836371,0.936504503,0.930441073,0.955311001,0.985671983
19,0.99872266,0.978730735,0.977677884,0.96422024,0.971361502,0.97410559,0.937835735,0.939843724,0.957677913,0.990752181
20,0.999087816,0.982401793,0.980898439,0.971598812,0.974939693,0.978529384,0.946639199,0.943321372,0.963389732,0.99275101
21,0.99823127,0.976635034,0.975055321,0.961960063,0.969178008,0.968036774,0.935407347,0.928643419,0.952016003,0.987898788
22,0.998389663,0.97996306,0.978921579,0.970679387,0.977334327,0.980279519,0.946230087,0.941308488,0.962545946,0.993651525
23,0.998369682,0.978581019,0.977055947,0.965674003,0.968320598,0.97874061,0.939740857,0.932230818,0.956553051,0.992027296
24,0.997306124,0.972766568,0.975353657,0.961258638,0.96381741,0.97361555,0.931810259,0.925108282,0.956035742,0.989465789
25,0.998743486,0.979545996,0.978876393,0.970478686,0.972551423,0.981758805,0.946254753,0.938229007,0.963673182,0.994051947
26,0.994473538,0.9790343,0.976944554,0.966061205,0.972600293,0.978871316,0.943513305,0.92889292,0.967262616,0.99149976
27,0.994276504,0.975557185,0.975664296,0.965898106,0.970649022,0.976309888,0.947317384,0.940853592,0.960366807,0.990791265
28,0.997892851,0.980521727,0.976838433,0.965667801,0.973222686,0.981604854,0.946556098,0.934312906,0.966629021,0.994710528
29,0.998587006,0.981644087,0.977515452,0.972408511,0.973913829,0.982180145,0.949909838,0.940966287,0.966091778,0.994780177
30,0.992166547,0.9766848,0.97752858,0.970767233,0.973801696,0.982429651,0.95426993,0.945282956,0.967285448,0.9899735
31,0.996706918,0.984372092,0.982324383,0.978450465,0.978987428,0.985463588,0.957847628,0.947261185,0.973635379,0.99491128
32,0.994072632,0.977736455,0.97174288,0.968334282,0.969097362,0.981012139,0.944505798,0.936249335,0.966825229,0.992374742
33,0.99825296,0.983271284,0.978971699,0.971614012,0.981942467,0.986212734,0.956532128,0.947987468,0.968857903,0.995728358
34,0.998555585,0.979080275,0.974526233,0.971674718,0.976500162,0.984198919,0.955061465,0.943156684,0.965538798,0.995280354
35,0.992611084,0.978205994,0.972119011,0.968891695,0.975452856,0.97866907,0.952043018,0.941335502,0.96448863,0.992312499
36,0.998832012,0.98554718,0.982345426,0.976183226,0.983160475,0.987750031,0.964869712,0.956999125,0.972904849,0.996959116
37,0.999127958,0.983350643,0.979018807,0.976159132,0.982098772,0.989085343,0.959757969,0.951300005,0.973080786,0.997820142
38,0.998384023,0.982438768,0.97990254,0.975196637,0.979808446,0.986197745,0.961348199,0.951231557,0.974186914,0.995799872
39,0.999053521,0.98694251,0.982225622,0.980869691,0.985310154,0.989470693,0.96560828,0.954211005,0.974844289,0.997981132
40,0.999042133,0.9849855,0.979821905,0.976204863,0.981849678,0.988515356,0.961640326,0.952363702,0.973680741,0.99787828
41,0.998910639,0.986857371,0.983141029,0.979740828,0.981849791,0.989181763,0.964871935,0.957435836,0.973549303,0.997943841
42,0.998206943,0.98256817,0.976025939,0.974150379,0.979773387,0.98499615,0.960314033,0.951756401,0.968655667,0.996278566
43,0.998951815,0.984852803,0.981780575,0.977283139,0.980472937,0.985038034,0.961088256,0.949000686,0.970888957,0.997987086
44,0.998237438,0.985090561,0.979920754,0.974750125,0.98218969,0.989069848,0.963590747,0.954175597,0.975148902,0.997195299
45,0.996717249,0.983974889,0.979700266,0.975153451,0.981986094,0.986641189,0.960900249,0.951858852,0.970786136,0.996268267
46,0.999424884,0.987053484,0.985152601,0.980031527,0.982999762,0.990626411,0.967004447,0.95695837,0.975722868,0.998147706
47,0.999150802,0.988498984,0.983168593,0.979988263,0.985910756,0.989414196,0.967518537,0.960441364,0.97392143,0.998177069
48,0.999030395,0.982157142,0.98034259,0.976201276,0.983185556,0.986392684,0.961797012,0.95486916,0.968396206,0.994985953
49,0.998691015,0.985879437,0.981229411,0.976869413,0.985138164,0.990008568,0.967353295,0.958129836,0.974951356,0.997966777
50,0.999259273,0.987916189,0.979847149,0.978303387,0.982569381,0.990974018,0.965624914,0.954484125,0.970147187,0.998678826
51,0.998812417,0.98856102,0.981025285,0.974886037,0.98191416,0.989488314,0.964988763,0.956547709,0.972335653,0.997982919
52,0.99883931,0.985448387,0.979156079,0.976938448,0.982943615,0.988356148,0.964302606,0.959340844,0.971910197,0.995815511
53,0.998647987,0.98760881,0.980800747,0.972895808,0.980147878,0.988814541,0.960003718,0.951152671,0.970313907,0.996234598
54,0.999858073,0.990871028,0.987022249,0.983208796,0.986707085,0.995464334,0.970114966,0.960929931,0.980713757,0.999530156
55,0.998997381,0.992827792,0.988221856,0.981897406,0.987262418,0.994555961,0.972039873,0.964890402,0.978315145,0.998756994
56,0.998802309,0.990190822,0.985341317,0.980048233,0.982118161,0.993788893,0.967893962,0.957823098,0.975583032,0.998573919
57,0.99929172,0.990764668,0.982081332,0.983535918,0.988853014,0.994436969,0.969651663,0.962156218,0.978136007,0.998955736
58,0.996452068,0.991133074,0.984052407,0.980545753,0.983502513,0.993545243,0.96731642,0.957143416,0.972100848,0.996089523
59,0.99951767,0.991258759,0.988998139,0.980078148,0.988791706,0.99525924,0.972393967,0.964559289,0.97865241,0.997495392
60,0.997194617,0.988910331,0.986529868,0.976140519,0.98244522,0.99078876,0.965744733,0.955809579,0.974568599,0.996349818
61,0.999099894,0.987313391,0.984057447,0.974072497,0.980231808,0.985429236,0.965622119,0.954189112,0.972572006,0.996027783
62,0.999304397,0.991450131,0.988225389,0.980608132,0.983927233,0.994268058,0.966483099,0.954144614,0.977054142,0.999193124
63,0.999664547,0.992722097,0.990881643,0.982618225,0.987711442,0.996287277,0.974676323,0.965206746,0.983632961,0.999154153
64,0.999060053,0.99264082,0.988337927,0.981636122,0.984195051,0.995261893,0.969044612,0.960778639,0.980019448,0.998806782
65,0.998891331,0.992591892,0.990180913,0.980891389,0.982668057,0.99207532,0.970917594,0.96219442,0.980197753,0.998436937
66,0.999641267,0.995468922,0.995288141,0.985689981,0.988058052,0.996535863,0.974506233,0.966811232,0.98608217,0.999365272
67,0.999635663,0.995681663,0.995163353,0.987381446,0.989870558,0.996721832,0.977966762,0.968612564,0.985093433,0.999549957
68,0.999201158,0.994606517,0.990008649,0.984339327,0.988097775,0.995380875,0.972592122,0.962107321,0.981873766,0.999087153
69,0.999405714,0.995779704,0.992761364,0.982777793,0.988358316,0.995723434,0.975789479,0.96511281,0.983810906,0.998961456
70,0.9990739,0.992546007,0.991881443,0.98244893,0.989016853,0.994114834,0.974476348,0.964733495,0.980432682,0.997822027
71,0.999319396,0.996165871,0.994275732,0.978944415,0.984305816,0.994495321,0.969392511,0.960309437,0.979660641,0.999237369
72,0.999105688,0.994476954,0.99548116,0.978074304,0.983973456,0.994723337,0.974445121,0.96483859,0.983524708,0.998740978
73,0.997903449,0.992071086,0.989882744,0.974590488,0.980915157,0.99227042,0.968264482,0.953810791,0.976234282,0.996860119
74,0.999593767,0.992426889,0.99290773,0.981861887,0.984528303,0.99404939,0.973437957,0.962647504,0.9794959,0.997093479
75,0.999374295,0.994571734,0.993794816,0.98285179,0.984848506,0.995567358,0.975374889,0.962858161,0.978281435,0.998853975
76,0.999485962,0.99537095,0.993057718,0.981940751,0.98578851,0.996318436,0.974951191,0.96211266,0.982172924,0.999126857
77,0.998777447,0.995397515,0.995541465,0.980124509,0.98551612,0.995083332,0.97372669,0.964273963,0.981894555,0.998952026
78,0.998989311,0.996120149,0.996364837,0.982306085,0.987197616,0.996191548,0.975389365,0.964557412,0.983596977,0.99953142
79,0.996464875,0.995009283,0.989698513,0.982063479,0.984867462,0.99471113,0.971827123,0.961907021,0.979171773,0.998570274
80,0.999218337,0.994688971,0.995061991,0.982384688,0.988281039,0.995317472,0.976317489,0.965244248,0.982439794,0.999045284
81,0.998599498,0.99405882,0.994960877,0.982069543,0.983256348,0.994780298,0.972878517,0.962123342,0.976623849,0.998359451
82,0.999019748,0.996237512,0.995481262,0.985611072,0.989219078,0.99669117,0.978690153,0.968449244,0.98361896,0.998906287
83,0.999675369,0.994847708,0.994230138,0.984074656,0.987864201,0.99497013,0.974918347,0.965329614,0.98053239,0.998918958
84,0.998894163,0.995129296,0.994268235,0.980035073,0.982574102,0.994609678,0.974582344,0.963137326,0.979791802,0.998551582
85,0.9990757,0.994895997,0.994180075,0.987234722,0.98884901,0.996183632,0.977541339,0.967571582,0.980660806,0.99874817
86,0.999469872,0.996406436,0.995465389,0.984368648,0.987314687,0.997140372,0.976792439,0.966725709,0.985040957,0.999077223
87,0.997540631,0.9960456,0.996039324,0.984393647,0.987965361,0.997028921,0.97940668,0.972069769,0.986839699,0.998121527
88,0.999799332,0.997934449,0.998653908,0.988886045,0.990781411,0.998267229,0.981729407,0.975712878,0.988522812,0.999660118
89,0.999505587,0.996272098,0.995658059,0.987682854,0.989151175,0.997400267,0.980524492,0.970582398,0.982017345,0.999364618
90,0.999633423,0.997411184,0.997089674,0.98693964,0.988794698,0.997058674,0.981075809,0.970044545,0.986363295,0.999437364
91,0.999851779,0.998073048,0.99861631,0.986767545,0.991347515,0.998532777,0.985388725,0.978546616,0.987808115,0.999688826
92,0.997677424,0.994658043,0.995902448,0.985056839,0.989304635,0.995766109,0.980470635,0.972159276,0.982843165,0.997425087
93,0.996748086,0.996094927,0.99623243,0.987795106,0.987249502,0.997132556,0.979547575,0.970956279,0.983163734,0.99926396
94,0.997775214,0.993473507,0.995614624,0.982115933,0.985989009,0.994949637,0.974358466,0.964893617,0.983071402,0.996255941
95,0.999821879,0.998309683,0.997674316,0.986008611,0.98686955,0.997719805,0.979172089,0.968211175,0.985314634,0.999773588
96,0.999627285,0.997298787,0.997296666,0.985491936,0.989948068,0.997611214,0.980203155,0.969573548,0.98404208,0.999679878
97,0.999765774,0.997026141,0.996845606,0.985084922,0.989408117,0.997863166,0.981380716,0.972607422,0.983630347,0.99953938
98,0.99943154,0.99649764,0.996176691,0.987374052,0.992292052,0.996887145,0.980703426,0.972104639,0.982432985,0.999277071
99,0.999681065,0.997609767,0.996892199,0.986195796,0.988952786,0.997032392,0.979010172,0.969000356,0.985174795,0.998827734
100,0.683280721,0.687471086,0.609257296,0.612642071,0.581918082,0.546998469,0.499891066,0.50528974,0.666860201,0.611622367
101,0.731653748,0.771024437,0.648237722,0.726157242,0.690889538,0.660035713,0.556129301,0.549828469,0.713255072,0.76811714
102,0.726960506,0.773889974,0.600557142,0.714579095,0.749952136,0.666689978,0.512215862,0.53007315,0.690096178,0.77971152
103,0.841015598,0.819142306,0.651393273,0.782746275,0.803974969,0.727708323,0.540788764,0.528527807,0.759434148,0.8443775
104,0.879446692,0.865954814,0.687375271,0.811352839,0.826147781,0.752585996,0.54914157,0.527356838,0.77771762,0.897113492
105,0.919973903,0.865594514,0.726012279,0.848895415,0.849418032,0.773181632,0.667786594,0.531734616,0.799287339,0.902386787
106,0.948362199,0.899466385,0.737015069,0.877235017,0.874395217,0.820452168,0.760158735,0.672885242,0.823881683,0.936593105
107,0.953411234,0.900089573,0.769782818,0.908193829,0.893598118,0.832841622,0.805967282,0.772846752,0.852719766,0.935540717
108,0.952476323,0.903349529,0.779884434,0.911354882,0.898369104,0.834860676,0.830932779,0.814497786,0.846585031,0.931125371
109,0.95388463,0.916925061,0.820720595,0.913737073,0.899211845,0.845080302,0.848619894,0.844422391,0.861919506,0.937466847
110,0.950617652,0.929120021,0.832450139,0.923454113,0.905728458,0.873162024,0.861655164,0.856415522,0.876733591,0.943823423
111,0.970382602,0.943628844,0.861601862,0.944454457,0.931135563,0.909876501,0.903085222,0.905556805,0.897421424,0.959996139
112,0.968257996,0.941895268,0.84649285,0.953432679,0.943054129,0.923094102,0.900544883,0.908655778,0.906878104,0.963756041
113,0.973860453,0.957463838,0.879556489,0.952915029,0.944886555,0.93711957,0.906871358,0.917802273,0.918151953,0.968771604
114,0.969563449,0.964793795,0.871627819,0.958254298,0.934197617,0.941561425,0.915556166,0.925367195,0.913268224,0.970519762
115,0.979117266,0.966552524,0.893363857,0.956114793,0.951189527,0.945562029,0.923448959,0.929221921,0.916479376,0.971912481
116,0.980720362,0.970431868,0.895985401,0.964732181,0.945161472,0.952001717,0.929169306,0.934874492,0.932528308,0.976636645
117,0.980892328,0.965558932,0.897081859,0.95643255,0.950430148,0.948592878,0.917432875,0.922993393,0.912558203,0.97689395
118,0.981935011,0.970660127,0.890341363,0.97102822,0.962589752,0.957296347,0.930730876,0.938829236,0.926923286,0.978215151
119,0.975784413,0.969850016,0.906208661,0.971134111,0.961993525,0.953562457,0.933447475,0.933124942,0.925926817,0.975675881
120,0.981184954,0.970940671,0.912105372,0.972346736,0.962008915,0.962011643,0.928255311,0.930589992,0.924204736,0.982952106
121,0.980008427,0.974131115,0.897843315,0.968092703,0.959442863,0.954339112,0.92436414,0.930428125,0.914942691,0.977929999
